	disrupted2onc
hsa-miR-424-3p	1
hsa-miR-425-5p	1
hsa-miR-4252	1
hsa-miR-4253	1
hsa-miR-4256	1
hsa-miR-4257	1
hsa-miR-4265	1
hsa-miR-4266	1
hsa-miR-4268	1
hsa-miR-3942-5p	1
hsa-miR-3941	1
hsa-miR-3939	1
hsa-miR-381	1
hsa-miR-378c	1
hsa-miR-378d	1
hsa-miR-378e	1
hsa-miR-378f	1
hsa-miR-378h	1
hsa-miR-378i	1
hsa-miR-379-5p	1
hsa-miR-382-5p	1
hsa-miR-3936	1
hsa-miR-3909	1
hsa-miR-3913-5p	1
hsa-miR-3915	1
hsa-miR-3921	1
hsa-miR-3924	1
hsa-miR-3928	1
hsa-miR-3929	1
hsa-miR-99b-3p	1
