	miRNA	Genesymbol
2525	hsa-miR-892b	KDSR
2534	hsa-miR-302f	AKT2
2551	hsa-miR-770-5p	MDM4
2574	hsa-miR-302f	LPP
2645	hsa-miR-4520a-3p	HIP1
2646	hsa-miR-4520b-3p	HIP1
2652	hsa-miR-520d-5p	MET
2653	hsa-miR-524-5p	MET
2664	hsa-miR-4698	KIAA1549
2696	hsa-miR-548aw	PPFIBP1
2703	hsa-miR-1207-5p	ERCC4
2705	hsa-miR-3937	STAT3
2711	hsa-miR-1236	RNF213
2712	hsa-miR-199a-3p	KDSR
2713	hsa-miR-199b-3p	KDSR
2714	hsa-miR-30a-3p	KDSR
2715	hsa-miR-30d-3p	KDSR
2716	hsa-miR-3129-5p	KDSR
2727	hsa-miR-4726-5p	ARHGAP26
2734	hsa-miR-320e	GAS7
2753	hsa-miR-342-5p	MDM4
2756	hsa-miR-4505	MDM4
2758	hsa-miR-4651	MDM4
2759	hsa-miR-4731-5p	MDM4
2760	hsa-miR-608	MDM4
2785	hsa-miR-617	ACSL6
2791	hsa-miR-26b-5p	NRAS
2792	hsa-miR-5697	NRAS
2793	hsa-miR-216b	MDM4
2799	hsa-miR-1295b-3p	ARHGAP26
2807	hsa-miR-29b-2-5p	KAT6A
2809	hsa-miR-518c-5p	KAT6A
2817	hsa-miR-508-5p	MDM2
2818	hsa-miR-1538	LPP
2837	hsa-miR-1202	ABL2
2838	hsa-miR-1227	ABL2
2839	hsa-miR-147a	ABL2
2874	hsa-miR-3162-5p	KIT
2876	hsa-miR-410	BTG1
2877	hsa-miR-5011-5p	BTG1
2878	hsa-miR-1273e	SH2B3
2879	hsa-miR-4327	SH2B3
2880	hsa-miR-5680	KAT6B
2892	hsa-miR-20b-5p	MAP3K13
2893	hsa-miR-519d	MAP3K13
2894	hsa-miR-526b-3p	MAP3K13
2897	hsa-miR-93-5p	MAP3K13
2911	hsa-miR-431-5p	IRF4
2912	hsa-miR-511	IRF4
2919	hsa-miR-1913	PBX1
