	miRNA	Genesymbol
2000	hsa-miR-497-5p	TPM3
2004	hsa-miR-382-5p	TOP1
2005	hsa-miR-490-3p	TEF
2006	hsa-miR-619	TEF
2007	hsa-miR-649	TEF
2008	hsa-miR-875-3p	TEF
2018	hsa-miR-377-3p	EGFR
2024	hsa-miR-4272	AFF4
2033	hsa-miR-129-5p	ERBB4
2034	hsa-miR-3680-3p	ERBB4
2035	hsa-miR-450b-5p	ERBB4
2036	hsa-miR-507	ERBB4
2048	hsa-miR-1236	DEK
2050	hsa-miR-1257	GAS7
2051	hsa-miR-15b-3p	GAS7
2058	hsa-miR-29a-5p	HLF
2061	hsa-miR-361-3p	WHSC1
2067	hsa-miR-3529-3p	AFF1
2068	hsa-miR-4709-5p	AFF1
2071	hsa-miR-1305	FOXO1
2072	hsa-miR-335-3p	FOXO1
2077	hsa-miR-548ac	BCL11A
2078	hsa-miR-548h-3p	BCL11A
2079	hsa-miR-548z	BCL11A
2081	hsa-miR-200b-5p	ING3
2084	hsa-miR-1226-3p	WHSC1
2088	hsa-miR-584-5p	BCL2
2089	hsa-miR-4297	PBX1
2091	hsa-miR-491-3p	SKIL
2095	hsa-miR-143-5p	AFF1
2100	hsa-miR-455-5p	AFF4
2107	hsa-miR-3692-3p	AFF4
2108	hsa-miR-3914	AKT2
2115	hsa-miR-3925-3p	RARA
2116	hsa-miR-4712-5p	RARA
2117	hsa-miR-766-3p	RARA
2145	hsa-miR-4684-3p	WWTR1
2150	hsa-miR-3144-3p	CBL
2151	hsa-miR-3616-5p	PDGFRB
2152	hsa-miR-2116-5p	CRKL
2153	hsa-miR-4273	CRKL
2154	hsa-miR-204-3p	REL
2179	hsa-miR-20b-5p	SYK
2180	hsa-miR-519d	SYK
2181	hsa-miR-93-5p	SYK
2242	hsa-miR-3607-5p	KAT6A
2316	hsa-miR-526b-3p	AKAP13
2344	hsa-miR-17-5p	SYK
2353	hsa-miR-4434	KAT5
2354	hsa-miR-5703	KAT5
