	Driver Oncogenes with Disrupted Binding Site	Driver Tumor Suppressor Gene with Created Binding Site	Unclassified Driver Gene with Mutated Binding Site	Total # Mutated Driver Gene Binding Sites
hsa-miR-3973			AFF4	1
hsa-miR-3974			CDC73	1
hsa-miR-3978	NTRK2,PAX5,LPHN2			3
hsa-miR-410		NAP1L1		1
hsa-miR-411-5p		EIF1AX		1
hsa-miR-412	ROBO2			1
hsa-miR-421	LRP6		AFF4	2
hsa-miR-422a	NKX3-1			1
hsa-miR-423-3p		TET2		1
hsa-miR-423-5p		EP300		1
hsa-miR-424-3p	AKT1	WT1	PRKCZ	3
hsa-miR-424-5p		CYLD	WHSC1	2
hsa-miR-425-3p		TFDP2		1
hsa-miR-425-5p	FGFR2		AFF4	2
hsa-miR-4251			MAGI2	1
hsa-miR-4252	FGFR2			1
hsa-miR-4254	STARD13,CLCC1			2
hsa-miR-4257			AFF4	1
hsa-miR-4258		MSR1,CREBBP		2
hsa-miR-4260		CLOCK	MYD88,JMY	3
hsa-miR-4262		CHD8		1
hsa-miR-4263		CAST		1
hsa-miR-4266	FAT2		FGFR1	2
hsa-miR-4268		CDKN2B,CDKN2A	CUX1	3
hsa-miR-4269	BRWD1	VHL		2
hsa-miR-4271			JMY	1
hsa-miR-4272			AFF4	1
hsa-miR-4273	PTPN11	MAP2K4		2
hsa-miR-4274			FGFR1	1
hsa-miR-4279	KRAS	PIK3R1		2
hsa-miR-4280		NAP1L1,LIMA1		2
hsa-miR-4281	PIK3R3		FAM46C,CUX1	3
hsa-miR-4282	ROBO2,SRGAP1,KALRN	MUC20		4
hsa-miR-4283	ELF4	SMARCB1		2
hsa-miR-4284		NF2,TFDP2		2
hsa-miR-4286		CDKN2B,TET2		2
hsa-miR-4287	NDRG1			1
hsa-miR-4289		HLA-A		1
hsa-miR-4290	AHR		CDK4	2
hsa-miR-4292		THRAP3		1
hsa-miR-4293	GNAS	MLL		2
hsa-miR-4295	LRP6	CDKN2A	FGFR1	3
hsa-miR-4297			CDK4	1
hsa-miR-4298		SMAD2,ARID5B		2
hsa-miR-4300	SOX17			1
hsa-miR-4302	FGFR2	SUZ12	STK4	3
hsa-miR-4303		IRS2		1
hsa-miR-4304		STK11		1
hsa-miR-4306	STARD13			1
hsa-miR-4310	RET	CLOCK		2
hsa-miR-4312		STK11		1
hsa-miR-4314		MUC20		1
hsa-miR-4315	ROBO2			1
hsa-miR-4316	NTRK3			1
hsa-miR-4318			STK4	1
hsa-miR-432-3p		NOTCH1		1
hsa-miR-432-5p	STARD13,ASH1L			2
hsa-miR-4323	ABL2			1
hsa-miR-4324			MAGI2	1
hsa-miR-4325	PPP2R5C	CYLD		2
hsa-miR-4327	CAT	MAP2K4	SH2B3	3
hsa-miR-4328			EFTUD2	1
hsa-miR-4329	ERBB3			1
hsa-miR-4330		ARID5B		1
hsa-miR-4418			FGFR1	1
hsa-miR-4419b		RUNX1		1
hsa-miR-4420		ATRX		1
hsa-miR-4421		SMAD2		1
hsa-miR-4422	AKT1,LPHN2,POM121		EFTUD2	4
hsa-miR-4423-3p		RAD23B,CDC27,NF1		3
hsa-miR-4424		TP53		1
hsa-miR-4426	HNF1A	TCF7L2,KEAP1	STK4	4
hsa-miR-4428	BAZ2B			1
hsa-miR-4429	HNF1A			1
hsa-miR-4430	LPHN2	MUC20,FAF1	RASGRP1,STK4	5
hsa-miR-4432		KDM5C,MSR1	CUX1	3
hsa-miR-4433-3p	CLCC1,POM121			2
hsa-miR-4433-5p		MSR1		1
hsa-miR-4434	NTRK2			1
hsa-miR-4437		SMARCB1		1
hsa-miR-4438	PIK3R3	CDC27,RAD23B,ARHGAP26		4
hsa-miR-4439	PRRX1			1
hsa-miR-4443	KIT,SRGAP1			2
hsa-miR-4445-5p	PTPN11	NCKAP1		2
hsa-miR-4446-5p	NTRK2,EPHB2	CTCF		3
hsa-miR-4447		EP300,TCF7L2		2
hsa-miR-4448		CDKN2A		1
hsa-miR-4449			CUX1	1
hsa-miR-4452	NTRK2,EGFR			2
hsa-miR-4453	CAT			1
hsa-miR-4457		CEBPA,MLL3		2
