miR Family	Gene Symbol
let-7/98/4458/4500	ITGA11
let-7/98/4458/4500	ITGB3
let-7/98/4458/4500	ITGB7
let-7/98/4458/4500	ITGB8
let-7/98/4458/4500	KATNAL1
let-7/98/4458/4500	KCMF1
let-7/98/4458/4500	KCNA6
let-7/98/4458/4500	KCNC1
let-7/98/4458/4500	KCNC4
let-7/98/4458/4500	KCNJ11
let-7/98/4458/4500	KCNQ4
let-7/98/4458/4500	KCTD10
let-7/98/4458/4500	KCTD16
let-7/98/4458/4500	KCTD17
let-7/98/4458/4500	KCTD21
let-7/98/4458/4500	KDM4B
let-7/98/4458/4500	KHNYN
let-7/98/4458/4500	KIAA0317
let-7/98/4458/4500	KIAA0895L
let-7/98/4458/4500	KIAA0930
let-7/98/4458/4500	KIAA1147
let-7/98/4458/4500	KIAA1244
let-7/98/4458/4500	KIAA1274
let-7/98/4458/4500	KIAA1467
let-7/98/4458/4500	KIAA1539
let-7/98/4458/4500	KIAA1549
let-7/98/4458/4500	KIAA2022
let-7/98/4458/4500	KIF1B
let-7/98/4458/4500	KIF21B
let-7/98/4458/4500	KIFC2
let-7/98/4458/4500	KLF8
let-7/98/4458/4500	KLF9
let-7/98/4458/4500	KLHDC8B
let-7/98/4458/4500	KLHL23
let-7/98/4458/4500	KLHL24
let-7/98/4458/4500	KLHL31
let-7/98/4458/4500	KLHL6
let-7/98/4458/4500	KLHL9
let-7/98/4458/4500	KLKB1
let-7/98/4458/4500	KPNA1
let-7/98/4458/4500	KPNA4
let-7/98/4458/4500	KREMEN1
let-7/98/4458/4500	L2HGDH
let-7/98/4458/4500	LALBA
let-7/98/4458/4500	LAMP2
let-7/98/4458/4500	LBH
let-7/98/4458/4500	LBR
let-7/98/4458/4500	LCOR
let-7/98/4458/4500	LCORL
let-7/98/4458/4500	LDB3
let-7/98/4458/4500	LEPROTL1
let-7/98/4458/4500	LETMD1
let-7/98/4458/4500	LGR4
let-7/98/4458/4500	LIMD1
let-7/98/4458/4500	LIMD2
let-7/98/4458/4500	LIMK2
let-7/98/4458/4500	LIN28A
let-7/98/4458/4500	LIN28B
let-7/98/4458/4500	LINGO1
let-7/98/4458/4500	LIPH
let-7/98/4458/4500	LIPT2
let-7/98/4458/4500	LMLN
let-7/98/4458/4500	LMX1A
let-7/98/4458/4500	LOC100507421
let-7/98/4458/4500	LOC221710
let-7/98/4458/4500	LOR
let-7/98/4458/4500	LOXL3
let-7/98/4458/4500	LOXL4
let-7/98/4458/4500	LPGAT1
let-7/98/4458/4500	LRFN4
let-7/98/4458/4500	LRIG1
let-7/98/4458/4500	LRIG2
let-7/98/4458/4500	LRIG3
let-7/98/4458/4500	LRRC10B
let-7/98/4458/4500	LRRC20
let-7/98/4458/4500	LRRC8B
let-7/98/4458/4500	LSM11
let-7/98/4458/4500	LTN1
let-7/98/4458/4500	LUC7L3
let-7/98/4458/4500	LY75
let-7/98/4458/4500	MAB21L3
let-7/98/4458/4500	MAP3K1
let-7/98/4458/4500	MAP3K2
let-7/98/4458/4500	MAP3K3
let-7/98/4458/4500	MAP4K3
let-7/98/4458/4500	MAP4K4
let-7/98/4458/4500	MAPK11
let-7/98/4458/4500	MAPK1IP1L
let-7/98/4458/4500	MAPK6
let-7/98/4458/4500	MAPK9
let-7/98/4458/4500	MAPKBP1
let-7/98/4458/4500	MARCH9
let-7/98/4458/4500	MARS2
let-7/98/4458/4500	MASP1
let-7/98/4458/4500	MBD2
let-7/98/4458/4500	MBTPS2
let-7/98/4458/4500	MDFI
let-7/98/4458/4500	MDM4
let-7/98/4458/4500	MED28
let-7/98/4458/4500	MED6
let-7/98/4458/4500	MED8
let-7/98/4458/4500	MEF2C
let-7/98/4458/4500	MEF2D
let-7/98/4458/4500	MEGF11
let-7/98/4458/4500	MEIS2
let-7/98/4458/4500	MEIS3
let-7/98/4458/4500	MESDC1
let-7/98/4458/4500	METTL21B
let-7/98/4458/4500	MEX3A
let-7/98/4458/4500	MFAP3L
let-7/98/4458/4500	MFSD4
let-7/98/4458/4500	MFSD8
let-7/98/4458/4500	MGA
let-7/98/4458/4500	MGAT3
let-7/98/4458/4500	MGAT4A
let-7/98/4458/4500	MGLL
let-7/98/4458/4500	MIB1
let-7/98/4458/4500	MICAL3
let-7/98/4458/4500	MID2
let-7/98/4458/4500	MLL2
let-7/98/4458/4500	MLLT10
let-7/98/4458/4500	MLLT4
let-7/98/4458/4500	MLXIP
let-7/98/4458/4500	MMP11
let-7/98/4458/4500	MNT
let-7/98/4458/4500	MOBKL2B
let-7/98/4458/4500	MOBKL3
let-7/98/4458/4500	MON2
let-7/98/4458/4500	MRS2
let-7/98/4458/4500	MSR1
let-7/98/4458/4500	MTDH
let-7/98/4458/4500	MTMR12
let-7/98/4458/4500	MTMR3
let-7/98/4458/4500	MTOR
let-7/98/4458/4500	MTPN
let-7/98/4458/4500	MTUS1
let-7/98/4458/4500	MUTED
let-7/98/4458/4500	MXD1
let-7/98/4458/4500	MYCBP
let-7/98/4458/4500	MYCL1
let-7/98/4458/4500	MYCN
let-7/98/4458/4500	MYO1F
let-7/98/4458/4500	MYO5B
let-7/98/4458/4500	MYRIP
let-7/98/4458/4500	NAA30
let-7/98/4458/4500	NAP1L1
let-7/98/4458/4500	NAPEPLD
let-7/98/4458/4500	NAT8L
let-7/98/4458/4500	NCEH1
let-7/98/4458/4500	NCOA1
let-7/98/4458/4500	NCOA3
let-7/98/4458/4500	NCOR1
let-7/98/4458/4500	NDST2
let-7/98/4458/4500	NDST3
let-7/98/4458/4500	NEDD4L
let-7/98/4458/4500	NEFM
let-7/98/4458/4500	NEK3
let-7/98/4458/4500	NFXL1
let-7/98/4458/4500	NGF
let-7/98/4458/4500	NHLRC2
let-7/98/4458/4500	NHLRC3
let-7/98/4458/4500	NID2
let-7/98/4458/4500	NIPA1
let-7/98/4458/4500	NIPAL4
let-7/98/4458/4500	NKD1
let-7/98/4458/4500	NKIRAS2
let-7/98/4458/4500	NLK
let-7/98/4458/4500	NLN
let-7/98/4458/4500	NLRC5
let-7/98/4458/4500	NME4
let-7/98/4458/4500	NME6
let-7/98/4458/4500	NMNAT2
let-7/98/4458/4500	NNT
let-7/98/4458/4500	NOS1
let-7/98/4458/4500	NOVA1
let-7/98/4458/4500	NPEPL1
let-7/98/4458/4500	NPHP3
let-7/98/4458/4500	NRARP
let-7/98/4458/4500	NRAS
let-7/98/4458/4500	NRK
let-7/98/4458/4500	NRP2
let-7/98/4458/4500	NRTN
let-7/98/4458/4500	NSD1
let-7/98/4458/4500	NTN1
let-7/98/4458/4500	NTRK3
let-7/98/4458/4500	NUMBL
let-7/98/4458/4500	NUP98
let-7/98/4458/4500	NXT2
let-7/98/4458/4500	NYNRIN
let-7/98/4458/4500	OBSCN
let-7/98/4458/4500	OLFM4
let-7/98/4458/4500	OLR1
let-7/98/4458/4500	ONECUT2
let-7/98/4458/4500	OPA3
let-7/98/4458/4500	OPRM1
let-7/98/4458/4500	OSBPL3
let-7/98/4458/4500	OSMR
let-7/98/4458/4500	OTUB2
let-7/98/4458/4500	OTUD3
let-7/98/4458/4500	P2RX1
let-7/98/4458/4500	PACS2
let-7/98/4458/4500	PAG1
let-7/98/4458/4500	PAIP2B
let-7/98/4458/4500	PAK1
let-7/98/4458/4500	PALM3
let-7/98/4458/4500	PANX2
let-7/98/4458/4500	PAPPA
let-7/98/4458/4500	PARD6B
let-7/98/4458/4500	PARM1
let-7/98/4458/4500	PARP8
let-7/98/4458/4500	PBX1
let-7/98/4458/4500	PBX2
let-7/98/4458/4500	PBX3
let-7/98/4458/4500	PC
let-7/98/4458/4500	PCDH19
let-7/98/4458/4500	PCGF3
