	Acute myeloid leukemia	BladderUrothelialCarcinoma(TCGA,US)	Breast Cancer	BreastCarcinoma(WTSI,UK)	BreastInvasiveCarcinoma(TCGA,US)	CervicalSquamousCellCarcinoma(TCGA,US)	Chronic lymphocytic leukaemia	ColonAdenocarcinoma(TCGA,US)	Colorectal adenocarcinoma	GastricCancer(CCGC,CN)	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	LiverCancer(NCC,JP)	LiverCancer(RIKEN,JP)	Lung	MalignantMelanoma(WTSI,UK)	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	PediatricBrainTumors(DKFZ,DE)	Prostate	ProstateCancer(OICR,CA)	RectumAdenocarcinoma(TCGA,US)	Small cell lung cancer	T-cell ALL	UterineCorpusEndometrioidCarcinoma(TCGA,US)
ATG7			81.0									36.0		12.0	48.0														
ATG9A																			34.0										
ATG9B																						35.0							
ATL2														12.0															
ATM																									14.0				
ATOX1														47.0															
ATP10B																		31.0											
ATP11B															11.0														
ATP12A										42.0																			
ATP13A2																									28.0				
ATP13A3														9.0	29.0														
ATP1A2														12.0											12.0				
ATP1A3														81.0															105.0
ATP1B1														22.0															
ATP1B2																									10.0				
ATP2A1														20.0															
ATP2A2														41.0					12.0						20.0				
ATP2A3																							168.0						
ATP2B1												20.0		6.0															18.0
ATP2B2														74.0	16.0														
ATP2B3										24.0													20.0						29.0
ATP2B4														10.0	58.0	24.0													
ATP2C1								72.0						105.0															
ATP4B										14.0				6.0															
ATP5B														10.0															
ATP5F1									11.0																				
ATP5J2																			72.0										
ATP5J2-PTCD1														17.0											52.0				53.0
ATP5L2										19.0																			
ATP5S																									74.0				
ATP6V0A2																									50.0				
ATP6V0D2																									64.0				
ATP6V0E1	22.0														74.0														
ATP6V1A																									16.0				
ATP6V1C1														12.0											32.0				
ATP6V1C2														14.0															
ATP6V1F															48.0														
ATP6V1G1															37.0														
ATP6V1G3																													36.0
ATP7A															6.0														
ATP7B															60.0														
ATP8A1															76.0														
ATP8B1																									108.0				
ATP8B2														49.0											19.0				
ATP8B4															20.0														
ATPIF1																													28.0
ATRAID														12.0															
ATRN														34.0															
ATRNL1												17.0		6.0	29.0														
ATRX														6.0	110.0														
ATXN1									24.0					64.0					68.0										
ATXN1L														6.0															
ATXN2																													19.0
ATXN2L																													20.0
ATXN3															660.0										2244.0				
ATXN7															66.0														
ATXN7L1																									53.0				
ATXN7L3														44.0															
ATXN7L3B														35.0											20.0		9.0		
AUH														37.0															
AURKA				78.0																									
AUTS2														26.0															
AVEN														19.0															
AVIL															26.0														
AVPR1B															9.0														
AXL			26.0																										
B3GALNT1															45.0														
B3GALNT2		28.0												24.0											55.0				12.0
B3GALT5									130.0																				
B3GALT6															10.0														
B3GALTL														36.0															
B3GNT2														27.0															
B3GNT5															16.0														
B3GNT6															14.0														
B3GNTL1			11.0																										
B4GALT1														18.0	18.0														
B4GALT4														50.0											22.0				
B4GALT5														22.0											20.0				
B4GALT6														8.0															
B9D1																													22.0
B9D2														29.0															
BAALC															38.0												34.0		20.0
BAAT															68.0														
BABAM1														68.0	32.0														
BACE1			60.0											72.0															
BACE2																													23.0
BACH2														14.0															
BAG1														10.0															
BAG4															24.0														
BAG5														84.0											126.0				
BAHD1														34.0	27.0														
BAI3														26.0															
BAIAP2														24.0			111.0												
BAIAP2L1														35.0															
BAIAP2L2														12.0	23.0														
BAIAP3														60.0															
BAK1																21.0													
BARHL2								16.0																					
BARX2			20.0																										
BASP1									5.0																				
BATF2														20.0															
BAX														17.0															
BAZ2A														34.0															
BAZ2B															37.0														
BBIP1															205.0										70.0				
BBS4														68.0															
BBS7												13.0																	
BBX			24.0											60.0	60.0														
BCAP29														6.0	68.0														33.0
BCAP31																													92.0
BCAR1														126.0															
BCAR3																		31.0											
BCAS1																									39.0				
BCAS2										26.0																			
BCAS3														52.0					44.0										
BCAS4														48.0	21.0														
BCAT1									110.0																				
BCAT2														27.0															
BCCIP										12.0																			
BCKDHB									27.0							17.0									12.0				
BCKDK																													10.0
BCL11A			14.0											30.0	19.0														
BCL11B														102.0	32.0			28.0											
BCL2														11.0											20.0				
BCL2L1														17.0															
BCL2L10																							27.0						
BCL2L11														26.0	192.0														501.0
BCL2L14		16.0																											
BCL2L15												5.0																	
BCL2L2								14.0																					
BCL2L2-PABPN1														20.0															
BCL6															78.0														
BCL6B																								32.0					
BCL7C														7.0															
BCL9														60.0															
BCLAF1										36.0				24.0															
BCR									12.0										86.0										
BDH1														66.0											63.0				
BDKRB2																7.0													
BDNF														136.0	833.0				119.0										
BDP1																7.0									15.0				
BEAN1														56.0															
BEND2														33.0											30.0				
BEND4				16.0										16.0															44.0
BEST3														88.0	58.0														
BET1															9.0														
BEX5														20.0															
BFAR									17.0																92.0				
BHLHE22																									7.0				
BHLHE40														47.0	14.0														
BHLHE41																											20.0		
BHMT														9.0															
BHMT2									12.0																				
BICD2														23.0	70.0														
BID												70.0																	
BIN2										20.0				24.0															
BIRC3														26.0															
BIRC5														32.0											50.0				60.0
BIRC6															18.0														
BIVM																									40.0				
BLCAP														85.0															
BLMH															24.0														
BLOC1S2														24.0	15.0														
BLOC1S3																									29.0				
BLOC1S4														22.0															
BLOC1S5														78.0											126.0				26.0
BLOC1S6																									42.0				
BMF															40.0														
BMP3																		15.0											
