	Acute myeloid leukemia	"BladderUrothelialCarcinoma(TCGA,US)"	Breast Cancer	"BreastCarcinoma(WTSI,UK)"	"BreastInvasiveCarcinoma(TCGA,US)"	"CervicalSquamousCellCarcinoma(TCGA,US)"	Chronic lymphocytic leukaemia	"ColonAdenocarcinoma(TCGA,US)"	Colorectal adenocarcinoma	"GastricCancer(CCGC,CN)"	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	"LiverCancer(NCC,JP)"	"LiverCancer(RIKEN,JP)"	Lung	"MalignantMelanoma(WTSI,UK)"	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	"PediatricBrainTumors(DKFZ,DE)"	Prostate	"ProstateCancer(OICR,CA)"	"RectumAdenocarcinoma(TCGA,US)"	Small cell lung cancer	T-cell ALL	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"
ATP6V0D2																									27				
ATP6V0E1	13														20														
ATP6V1A																									3				
ATP6V1C1														1											10				
ATP6V1C2														6															
ATP6V1F															20														
ATP6V1G1															6														
ATP6V1G3																													11
ATP7A															4														
ATP7B															27														
ATP8A1															44														
ATP8B1																									72				
ATP8B2														21											8				
ATP8B4															9														
ATPIF1																													10
ATRAID														3															
ATRN														20															
ATRNL1												8			19														
ATRX															68														
ATXN1									10					44					36										
ATXN1L														5															
ATXN2																													7
ATXN2L																													8
ATXN3															228										1548				
ATXN7															36														
ATXN7L1																									31				
ATXN7L3														18															
ATXN7L3B														22											5		5		
AUH														17															
AURKA				30																									
AUTS2														6															
AVEN														10															
AVIL															12														
AVPR1B															3														
AXL			16																										
B3GALNT1															20														
B3GALNT2		11												10											20				7
B3GALT5									80																				
B3GALT6															4														
B3GALTL														17															
B3GNT2														22															
B3GNT5															4														
B3GNT6															6														
B3GNTL1			7																										
B4GALT1														14	6														
B4GALT4														20											8				
B4GALT5														7											5				
B4GALT6														3															
B9D1																													9
B9D2														12															
BAALC															14												18		9
BAAT															44														
BABAM1														26	14														
BACE1			24											54															
BACE2																													9
BACH2														6															
BAG1														4															
BAG4															12														
BAG5														42											81				
BAHD1														9	19														
BAI3														14															
BAIAP2														10			51												
BAIAP2L1														16															
BAIAP2L2														5	8														
BAIAP3														45															
BAK1																4													
BARX2			11																										
BATF2														6															
BAX														5															
BAZ2A														24															
BAZ2B															20														
BBIP1															105										30				
BBS4														24															
BBS7												10																	
BBX			14											22	24														
BCAP29														2	22														25
BCAP31																													80
BCAR1														45															
BCAR3																		27											
BCAS1																									29				
BCAS2										12																			
BCAS3														20					14										
BCAS4														30	7														
BCAT1									50																				
BCAT2														11															
BCCIP										6																			
BCKDHB									17							7									6				
BCKDK																													3
BCL11A			6											21	16														
BCL11B														26	12			20											
BCL2														5											3				
BCL2L1														5															
BCL2L10																							11						
BCL2L11														20	64														314
BCL2L14		5																											
BCL2L15												3																	
BCL2L2								10																					
BCL2L2-PABPN1														10															
BCL6															51														
BCL6B																								16					
BCL7C														6															
BCL9														13															
BCLAF1										3				12															
BCOR																													
BCR									6										56										
BDH1														27											24				
BDNF														102	357				34										
BDP1																									8				
BEAN1														12															
BEND2														13											24				
BEND4				13										11															21
BEST3														26	22														
BET1															5														
BEX5														10															
BFAR									7																33				
BHLHE22																									5				
BHLHE40														20	5														
BHLHE41																											15		
BHMT														6															
BHMT2									8																				
BICD2														6	16														
BID												21																	
BIN2										13				14															
BIRC5														18											6				18
BIRC6															14														
BIVM																									18				
BLCAP														20															
BLMH															8														
BLOC1S2														15	9														
BLOC1S3																									14				
BLOC1S4														11															
BLOC1S5														27											87				9
BLOC1S6																									28				
BMF															12														
BMP3																		9											
BMP5														8															
BMP7														13	21														
BMP8A										5																			
BMP8B																									49				
BMPER			9						5					9	5														
BMPR1A															6														
BMPR1B							16								9	20													
BNC1															11														
BNC2								8						4	6														
BNIP2														5	4														
BNIP3L								5							4														
BOC									3																				
BOD1L1															19														
BOK															7														
BOLA1																									2				
BPIFA3															22														
BPIFB4														8															
BPNT1																									42				
BPTF											14														10				
BRAF														1															
BRAP				3										8															
BRD3									4					20															
BRD4														24															
BRD8															2														
BRI3BP														4															
BRIP1												3																	
BRMS1L														5															
BRSK1																							7						
BRSK2														104															
BRWD1									3					4	24	10													29
BRWD3			6																										
BSDC1								36							40														56
BSN									6					4															
BSPRY														10													14		
BST1														9				11											
BST2														17															
BTAF1																								8					
BTBD1															18														
BTBD11									2																				
BTBD17																			12										
BTBD18															3														
BTBD7			2											6	14														
BTC																									1				
BTF3															3														
BTF3L4															69										24				
BTG1															37														
BTG2															6														
BTG3														24															
BTK										9																			
BTLA														8															
BTN2A1		16													9														72
BTN2A2		15		28											48														47
BTN3A1																44									92				
BTN3A2														15										36					
BTNL3														3															
BTNL8																													20
BTNL9			13																										
BTRC														39															
BUB1															10														
BVES															39														
BZW2												4		6															
C10orf10														18															
C10orf105														10															
C10orf111																									33				
C10orf113																													7
C10orf118															8	6									13				
C10orf131									15																				
C10orf2														60															
C10orf25																		27											
C10orf32															3														
C10orf53															13														
C10orf54														27	14														
C10orf67														10															
C10orf71														11															
C10orf76																									9				
C10orf82										12																			
C10orf90															5														
C10orf99																												12	
C11orf24																18													
C11orf30														12															
C11orf41									7																				
C11orf49		2	3						9					27															17
C11orf54																									38				
C11orf57														33	18														
C11orf63																									14				
C11orf68															8														
C11orf70									5																29				9
C11orf73																													3
C11orf80														11															
C11orf83															16										23				
C11orf84														2															
C11orf86															10														
C11orf87				11					4					3	23														
C11orf91														10															
C11orf95															10														
C12orf23														1	7														
C12orf4															6														
C12orf43																									7				
C12orf44														76															
C12orf5															10														
C12orf56														8															
C12orf65														69															
C12orf68														4															
C12orf74														6															
C14orf1														25															
C14orf119															3										28				
C14orf182								10																					
C14orf28												13			35										5				
C14orf93			72																										
C15orf2																5													
C15orf32														13															
C15orf38																									10				
C15orf38-AP3S2																									21				
C15orf40																									5				
C15orf41														10															
C15orf48															18														
C15orf52														37											13				
C15orf57																		3											
C15orf62								21						11															
C16orf52														6											5				
C16orf54																									9				
C16orf55														24															
C16orf58			12											10															4
C16orf70														12															
C16orf72															13														
C16orf80																						1							
C16orf89																													34
C16orf95														30															
C17orf101									8																				
C17orf102														9															
C17orf103																									5				
C17orf107						9																							18
C17orf49																													2
C17orf51														3															
C17orf58										11																			11
C17orf62														56															84
C17orf72														64															44
C17orf77																									16				
C17orf78															13														
C17orf85														4															
C17orf89															7														
C17orf99									11																				
C18orf1																78													
C18orf25														12															
C18orf32														18															
C18orf63									7					4															
C19orf12															76														
C19orf18															10														
C19orf25																													
C19orf26														7															
C19orf40														2											36				
C19orf44		11												10	14														41
C19orf47														28															
C19orf48														16															
C19orf54			6																						20				
C19orf66											8																		7
C1GALT1														11											9				
C1QA														11															3
C1QBP														7															
C1QTNF1														45	42														
C1QTNF3															14														
C1QTNF5														16															
C1QTNF6																									27				
C1QTNF8			6																										
C1QTNF9																									10				
C1R														4															
C1RL															7														
C1S														10															
C1orf101																													38
C1orf105														6															
C1orf106																									20				
C1orf110																												4	
C1orf115														6															
C1orf116															36	32													
C1orf122														42															
C1orf130																4													
C1orf131															7														
C1orf158														12															
C1orf168														10	13														
C1orf173														2	5														
C1orf177														10															
C1orf187											11																		
C1orf190			15																										
C1orf192				10																									
C1orf204														7															
C1orf21								13	19						13			6		13				12					
C1orf210																									24				
C1orf216																13													
C1orf229																									4				
C1orf233					8									4															
C1orf27															24														
C1orf31																		8											
C1orf35														7															
C1orf43														18															
C1orf65														11															
C1orf74														6															
C1orf86		1													7														
C1orf88																		8											
C1orf95														9															
C20orf160																								2					
C20orf166														3															
C20orf194									7																				
C20orf197															7														
C20orf202																9													
C20orf24																													16
C20orf26														6															
C20orf27														10															
C20orf96														36															
C21orf33														14															
C21orf58														10															
C21orf7																			6										
C21orf91				12											36														8
C22orf26															15														
C22orf29															11				10						69				
C22orf46														8	11														
C2CD2								4	22																				
C2CD2L											14																		
C2CD4A															24														
C2CD4C															6														
C2orf15																									7				
C2orf43														4															
C2orf44		20													6														
C2orf53														6															
C2orf67									8																				
C2orf69															2								3	5	6				
C2orf80																													3
C2orf83																													18
C2orf84									2																				
C2orf88														36	108									4					
C2orf91														4											14				
C3orf18																													
C3orf27															2														
C3orf33																									18				
C3orf38														8															
C3orf52														28	22	12									8				6
C3orf55				15										16															
C3orf58															14														
