	Acute myeloid leukemia	BladderUrothelialCarcinoma(TCGA,US)	Breast Cancer	BreastCarcinoma(WTSI,UK)	BreastInvasiveCarcinoma(TCGA,US)	CervicalSquamousCellCarcinoma(TCGA,US)	Chronic lymphocytic leukaemia	ColonAdenocarcinoma(TCGA,US)	Colorectal adenocarcinoma	GastricCancer(CCGC,CN)	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	LiverCancer(NCC,JP)	LiverCancer(RIKEN,JP)	Lung	MalignantMelanoma(WTSI,UK)	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	PediatricBrainTumors(DKFZ,DE)	Prostate	ProstateCancer(OICR,CA)	RectumAdenocarcinoma(TCGA,US)	Small cell lung cancer	T-cell ALL	UterineCorpusEndometrioidCarcinoma(TCGA,US)
ASZ1																													11.0
ATAD1														9.0															
ATAD2B														36.0															
ATAD3C														4.0															
ATAT1															14.0														
ATCAY														7.0	6.0	14.0									123.0		2.0		
ATF2										6.0					20.0										40.0				6.0
ATF3																													34.0
ATF5														6.0															
ATF6															5.0														
ATF7															54.0														
ATF7IP2														14.0											40.0				27.0
ATG10																									58.0				
ATG12															8.0										30.0				
ATG13																													48.0
ATG14														16.0											23.0				
ATG16L1												60.0																45.0	
ATG2A														12.0															
ATG4A									4.0																				
ATG4B														16.0															
ATG5														6.0	5.0														
ATG7			54.0									18.0			18.0														
ATG9A																			20.0										
ATG9B																						10.0							
ATL2														8.0															
ATM																									7.0				
ATOX1														20.0															
ATP10B																		14.0											
ATP11B															9.0														
ATP12A										32.0																			
ATP13A2																									11.0				
ATP13A3														4.0	15.0														
ATP1A2														4.0											6.0				
ATP1A3														66.0															42.0
ATP1B1														10.0															
ATP1B2																									5.0				
ATP2A1														14.0															
ATP2A2														16.0					3.0						5.0				
ATP2A3																							90.0						
ATP2B1												12.0		2.0															15.0
ATP2B2														66.0	6.0														
ATP2B3										19.0													16.0						15.0
ATP2B4														4.0	26.0	12.0													
ATP2C1								48.0						28.0															
ATP4B										9.0				1.0															
ATP5B														5.0															
ATP5F1									8.0																				
ATP5J2																			36.0										
ATP5J2-PTCD1														4.0											41.0				37.0
ATP5L2										9.0																			
ATP5S																									58.0				
ATP6V0A2																									26.0				
ATP6V0D2																									27.0				
ATP6V0E1	13.0														20.0														
ATP6V1A																									3.0				
ATP6V1C1														1.0											10.0				
ATP6V1C2														6.0															
ATP6V1F															20.0														
ATP6V1G1															6.0														
ATP6V1G3																													11.0
ATP7A															4.0														
ATP7B															27.0														
ATP8A1															44.0														
ATP8B1																									72.0				
ATP8B2														21.0											8.0				
ATP8B4															9.0														
ATPIF1																													10.0
ATRAID														3.0															
ATRN														20.0															
ATRNL1												8.0			19.0														
ATRX															68.0														
ATXN1									10.0					44.0					36.0										
ATXN1L														5.0															
ATXN2																													7.0
ATXN2L																													8.0
ATXN3															228.0										1548.0				
ATXN7															36.0														
ATXN7L1																									31.0				
ATXN7L3														18.0															
ATXN7L3B														22.0											5.0		5.0		
AUH														17.0															
AURKA				30.0																									
AUTS2														6.0															
AVEN														10.0															
AVIL															12.0														
AVPR1B															3.0														
AXL			16.0																										
B3GALNT1															20.0														
B3GALNT2		11.0												10.0											20.0				7.0
B3GALT5									80.0																				
B3GALT6															4.0														
B3GALTL														17.0															
B3GNT2														22.0															
B3GNT5															4.0														
B3GNT6															6.0														
B3GNTL1			7.0																										
B4GALT1														14.0	6.0														
B4GALT4														20.0											8.0				
B4GALT5														7.0											5.0				
B4GALT6														3.0															
B9D1																													9.0
B9D2														12.0															
BAALC															14.0												18.0		9.0
BAAT															44.0														
BABAM1														26.0	14.0														
BACE1			24.0											54.0															
BACE2																													9.0
BACH2														6.0															
BAG1														4.0															
BAG4															12.0														
BAG5														42.0											81.0				
BAHD1														9.0	19.0														
BAI3														14.0															
BAIAP2														10.0			51.0												
BAIAP2L1														16.0															
BAIAP2L2														5.0	8.0														
BAIAP3														45.0															
BAK1																4.0													
BARX2			11.0																										
BATF2														6.0															
BAX														5.0															
BAZ2A														24.0															
BAZ2B															20.0														
BBIP1															105.0										30.0				
BBS4														24.0															
BBS7												10.0																	
BBX			14.0											22.0	24.0														
BCAP29														2.0	22.0														25.0
BCAP31																													80.0
BCAR1														45.0															
BCAR3																		27.0											
BCAS1																									29.0				
BCAS2										12.0																			
BCAS3														20.0					14.0										
BCAS4														30.0	7.0														
BCAT1									50.0																				
BCAT2														11.0															
BCCIP										6.0																			
BCKDHB									17.0							7.0									6.0				
BCKDK																													3.0
BCL11A			6.0											21.0	16.0														
BCL11B														26.0	12.0			20.0											
BCL2														5.0											3.0				
BCL2L1														5.0															
BCL2L10																							11.0						
BCL2L11														20.0	64.0														314.0
BCL2L14		5.0																											
BCL2L15												3.0																	
BCL2L2								10.0																					
BCL2L2-PABPN1														10.0															
BCL6															51.0														
BCL6B																								16.0					
BCL7C														6.0															
BCL9														13.0															
BCLAF1										3.0				12.0															
BCR									6.0										56.0										
BDH1														27.0											24.0				
BDNF														102.0	357.0				34.0										
BDP1																									8.0				
BEAN1														12.0															
BEND2														13.0											24.0				
BEND4				13.0										11.0															21.0
BEST3														26.0	22.0														
BET1															5.0														
BEX5														10.0															
BFAR									7.0																33.0				
BHLHE22																									5.0				
BHLHE40														20.0	5.0														
BHLHE41																											15.0		
BHMT														6.0															
BHMT2									8.0																				
BICD2														6.0	16.0														
BID												21.0																	
BIN2										13.0				14.0															
BIRC5														18.0											6.0				18.0
BIRC6															14.0														
BIVM																									18.0				
BLCAP														20.0															
BLMH															8.0														
BLOC1S2														15.0	9.0														
BLOC1S3																									14.0				
BLOC1S4														11.0															
BLOC1S5														27.0											87.0				9.0
BLOC1S6																									28.0				
BMF															12.0														
BMP3																		9.0											
BMP5														8.0															
BMP7														13.0	21.0														
BMP8A										5.0																			
BMP8B																									49.0				
BMPER			9.0						5.0					9.0	5.0														
BMPR1A															6.0														
BMPR1B							16.0								9.0	20.0													
BNC1															11.0														
BNC2								8.0						4.0	6.0														
BNIP2														5.0	4.0														
BNIP3L								5.0							4.0														
BOC									3.0																				
BOD1L1															19.0														
BOK															7.0														
BOLA1																									2.0				
BPIFA3															22.0														
BPIFB4														8.0															
BPNT1																									42.0				
BPTF											14.0														10.0				
BRAF														1.0															
BRAP				3.0										8.0															
BRD3									4.0					20.0															
BRD4														24.0															
BRD8															2.0														
BRI3BP														4.0															
BRIP1												3.0																	
BRMS1L														5.0															
BRSK1																							7.0						
BRSK2														104.0															
BRWD1									3.0					4.0	24.0	10.0													29.0
BRWD3			6.0																										
BSDC1								36.0							40.0														56.0
BSN									6.0					4.0															
BSPRY														10.0													14.0		
BST1														9.0				11.0											
BST2														17.0															
BTAF1																								8.0					
BTBD1															18.0														
BTBD11									2.0																				
BTBD17																			12.0										
BTBD18															3.0														
BTBD7			2.0											6.0	14.0														
BTC																									1.0				
BTF3															3.0														
BTF3L4															69.0										24.0				
BTG1															37.0														
BTG2															6.0														
BTG3														24.0															
BTK										9.0																			
BTLA														8.0															
