	Acute myeloid leukemia	"BladderUrothelialCarcinoma(TCGA,US)"	Breast Cancer	"BreastCarcinoma(WTSI,UK)"	"BreastInvasiveCarcinoma(TCGA,US)"	"CervicalSquamousCellCarcinoma(TCGA,US)"	Chronic lymphocytic leukaemia	"ColonAdenocarcinoma(TCGA,US)"	Colorectal adenocarcinoma	"GastricCancer(CCGC,CN)"	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	"LiverCancer(NCC,JP)"	"LiverCancer(RIKEN,JP)"	Lung	"MalignantMelanoma(WTSI,UK)"	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	"PediatricBrainTumors(DKFZ,DE)"	Prostate	"ProstateCancer(OICR,CA)"	"RectumAdenocarcinoma(TCGA,US)"	Small cell lung cancer	T-cell ALL	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"
hsa-miR-1587		1	1	2					4			1		27	20	3		7	2			2		2	3				9
hsa-miR-15a-3p		3	12	3					3	1		3		37	17			5				2		3	21				10
hsa-miR-15a-5p	6	2	5	3				6	2	9				42	32			8	4		1		1		12				11
hsa-miR-15b-3p				1				3	7		1			25	18	8		2			1			1	5				4
hsa-miR-15b-5p	6	2	5	3				6	2	9				42	32			8	4		1		1		12				11
hsa-miR-16-1-3p	1		4					4	5	1				26	26	1		2						2	12		7		9
hsa-miR-16-2-3p	1		3					14	4	6		9		41	33			4	2						3				26
hsa-miR-16-5p	6	2	5	3				6	2	9				42	32			8	4		1		1		12				11
hsa-miR-17-3p	3	1	2					5	6	5		4		48	51	2		2	2	2	1	1			178				21
hsa-miR-17-5p		2	4				2	8	6	5		1		30	43	3	2	1	5						339	1			19
hsa-miR-181a-2-3p		1	2		1	1		8	5	6		2		45	43	2		2							48	4	1		12
hsa-miR-181a-3p		1	1						2	1				23	7	1								1	4				22
hsa-miR-181a-5p		1	5	9			1	6	14	1	1	6	2	53	51	6		12				1		6	2	5	5		48
hsa-miR-181b-3p		1		1				8	10	7	2	3		24	39	3									25		1		15
hsa-miR-181b-5p		1	5	9			1	6	14	1	1	6	2	53	51	6		12				1		6	2	5	5		48
hsa-miR-181c-3p			1					7	2	1				22	11	1		1						1	8				22
hsa-miR-181c-5p		1	5	9			1	6	14	1	1	6	2	53	51	6		12				1		6	2	5	5		48
hsa-miR-181d		1	5	9			1	6	14	1	1	6	2	53	51	6		12				1		6	2	5	5		48
hsa-miR-182-3p			4	1				8	4	6		1		14	25	4		1	1				1		13				6
hsa-miR-182-5p			4		1			7	10	1		3		19	17	3		9	2						4		6		37
hsa-miR-1825		1	3					6		1	1	1		59	23	32		2						1	5		8		11
hsa-miR-1827			4	1				1	1	1		1		28	38			3	2						118	4			12
hsa-miR-183-3p				2					6	2		1		23	35	2	2	1	3						5		2		23
hsa-miR-183-5p			2	1				7	4	3		2		45	26	3									6				16
hsa-miR-184			1											16	9										5				5
hsa-miR-185-3p			2	2					5		1	1		37	18	6		1						2	1				6
hsa-miR-185-5p			5					5	2	1	1	2	7	33	21	4		2	12	2				2					24
hsa-miR-186-3p		2	1	1				7	4			1	9	50	37	5		1	2				1		232				13
hsa-miR-186-5p	1	1	6	2			4	10	10	2		8	9	56	56	3		2	10	6			1	3	10				18
hsa-miR-187-3p		2						1	3					27	6			2							4	2			5
hsa-miR-187-5p			4					9	4		3		2	34	23			9	2						6				2
hsa-miR-188-3p		3	1	1			2	2	2	4		1		46	41	5			3	1					142				10
